School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Stanford University,70400.0,129000.0,68400.0,93100.0,184000.0,257000.0
California Institute of Technology (CIT),75500.0,123000.0,,104000.0,161000.0,
Harvey Mudd College,71800.0,122000.0,,96000.0,180000.0,
"University of California, Berkeley",59900.0,112000.0,59500.0,81000.0,149000.0,201000.0
Occidental College,51900.0,105000.0,,54800.0,157000.0,
Cal Poly San Luis Obispo,57200.0,101000.0,55000.0,74700.0,133000.0,178000.0
University of California at Los Angeles (UCLA),52600.0,101000.0,51300.0,72500.0,139000.0,193000.0
"University of California, San Diego (UCSD)",51100.0,101000.0,51700.0,75400.0,131000.0,177000.0
Pomona College,48600.0,101000.0,,63300.0,161000.0,
University of Southern California (USC),54800.0,99600.0,49700.0,73800.0,140000.0,201000.0
"University of California, Davis",52300.0,99600.0,52000.0,71600.0,135000.0,202000.0
"University of California, Irvine (UCI)",48300.0,96700.0,47800.0,66000.0,123000.0,172000.0
San Jose State University (SJSU),53500.0,95600.0,50700.0,70500.0,122000.0,156000.0
"University of California, Santa Barbara (UCSB)",50500.0,95000.0,51300.0,71200.0,129000.0,173000.0
"California State University (CSU), Chico",47400.0,88100.0,46800.0,62800.0,122000.0,154000.0
"California State University, Fullerton (CSUF)",45700.0,87000.0,45400.0,62500.0,119000.0,158000.0
San Francisco State University (SFSU),47300.0,86400.0,45100.0,62700.0,114000.0,150000.0
San Diego State University (SDSU),46200.0,85200.0,45500.0,61800.0,116000.0,158000.0
"California State University, Long Beach (CSULB)",45100.0,84700.0,47400.0,62500.0,113000.0,154000.0
"California State University, East Bay (CSUEB)",49200.0,84300.0,46000.0,62400.0,115000.0,155000.0
"University of California, Santa Cruz (UCSC)",44700.0,84100.0,46100.0,62000.0,121000.0,165000.0
"California State University, Sacramento (CSUS)",47800.0,82400.0,42900.0,59600.0,111000.0,154000.0
"University of California, Riverside (UCR)",46800.0,81300.0,37200.0,59900.0,109000.0,134000.0
"California State University, Northridge (CSUN)",45500.0,80400.0,44500.0,57800.0,108000.0,153000.0
"California State University, Dominguez Hills (CSUDH)",42700.0,72100.0,30800.0,47000.0,92200.0,132000.0
"California State University (CSU), Stanislaus",38000.0,71400.0,,50500.0,94100.0,
Humboldt State University,42600.0,71300.0,36000.0,56300.0,94400.0,117000.0
Thomas Aquinas College,41500.0,67500.0,,44600.0,93100.0,
Colorado School of Mines,58100.0,106000.0,62200.0,87900.0,142000.0,201000.0
University of Colorado - Boulder (UCB),47100.0,97600.0,51600.0,69000.0,128000.0,187000.0
New Mexico Institute of Mining and Technology (New Mexico Tech),51000.0,93400.0,,67400.0,123000.0,
Brigham Young University (BYU),49400.0,88600.0,50600.0,68500.0,119000.0,164000.0
University of Arizona,47500.0,86100.0,44800.0,61700.0,117000.0,160000.0
University of Washington (UW),48800.0,85300.0,47000.0,59800.0,115000.0,149000.0
Washington State University (WSU),45300.0,84700.0,43600.0,59000.0,113000.0,162000.0
University of Colorado - Denver,46100.0,84400.0,46400.0,58600.0,105000.0,144000.0
Arizona State University (ASU),47400.0,84100.0,44600.0,60700.0,114000.0,163000.0
Oregon State University (OSU),45100.0,83300.0,46900.0,64000.0,113000.0,146000.0
University of Utah,45400.0,83200.0,43000.0,58400.0,116000.0,148000.0
"University of Nevada, Reno (UNR)",46500.0,82900.0,41900.0,54600.0,113000.0,143000.0
Seattle University,48300.0,82800.0,50600.0,62400.0,110000.0,150000.0
University of Idaho,44900.0,82000.0,43000.0,56700.0,104000.0,142000.0
University of New Mexico (UNM),41600.0,81600.0,41800.0,59100.0,105000.0,141000.0
University of Puget Sound,46600.0,81500.0,48900.0,60100.0,104000.0,137000.0
Colorado College (CC),38500.0,81400.0,,43000.0,148000.0,
Reed College,40500.0,81100.0,,67400.0,101000.0,
Whitman College,43500.0,80100.0,,64800.0,111000.0,
New Mexico State University,44300.0,79500.0,37400.0,53800.0,102000.0,131000.0
Colorado State University (CSU),44800.0,79000.0,43800.0,57100.0,112000.0,150000.0
University of Wyoming (UW),44500.0,78700.0,41500.0,54000.0,105000.0,145000.0
Utah State University,43800.0,78700.0,41600.0,55400.0,101000.0,132000.0
University of Oregon,42200.0,78400.0,38100.0,56200.0,117000.0,186000.0
Montana State University - Bozeman,46600.0,77500.0,40200.0,58100.0,111000.0,151000.0
Gonzaga University,44900.0,76000.0,47000.0,57400.0,103000.0,138000.0
University of Hawaii,43800.0,76000.0,40400.0,56300.0,104000.0,128000.0
Western Washington University,42700.0,75400.0,41300.0,56700.0,99200.0,119000.0
Regis University,48300.0,73800.0,41000.0,55500.0,94800.0,117000.0
Idaho State University,44900.0,73400.0,35400.0,49600.0,101000.0,143000.0
"University of Alaska, Anchorage",45900.0,72600.0,39800.0,56600.0,99300.0,137000.0
Lewis & Clark College,38900.0,72600.0,38200.0,53400.0,104000.0,140000.0
University of Montana,37300.0,71900.0,37000.0,51500.0,96400.0,138000.0
"University of Nevada, Las Vegas (UNLV)",45200.0,71600.0,39000.0,52400.0,100000.0,128000.0
Portland State University (PSU),42600.0,70900.0,40700.0,52300.0,94400.0,123000.0
Eastern Washington University,38600.0,70900.0,36000.0,50500.0,93100.0,117000.0
Fort Lewis College,42000.0,69800.0,,55000.0,94000.0,
Boise State University (BSU),40800.0,69500.0,37400.0,48700.0,87500.0,110000.0
Utah Valley State College,42400.0,67100.0,,44100.0,84900.0,
Evergreen State College,39500.0,63900.0,38800.0,47200.0,91600.0,120000.0
Southern Utah University,41900.0,56500.0,,39700.0,78400.0,
Montana State University - Billings,37900.0,50600.0,,31800.0,78500.0,
University of Notre Dame,56300.0,116000.0,66400.0,85100.0,163000.0,235000.0
University Of Chicago,53400.0,113000.0,62200.0,83300.0,174000.0,255000.0
Carleton College,47500.0,103000.0,,69400.0,141000.0,
Illinois Institute of Technology (IIT),56000.0,97800.0,56100.0,77400.0,121000.0,165000.0
Case Western Reserve University,56200.0,96500.0,54900.0,76500.0,123000.0,168000.0
University of Illinois at Urbana-Champaign (UIUC),52900.0,96100.0,48200.0,68900.0,132000.0,177000.0
Northwestern University,52700.0,95900.0,51900.0,69100.0,144000.0,205000.0
University of Missouri - Rolla (UMR),57100.0,95800.0,67600.0,80400.0,122000.0,166000.0
South Dakota School of Mines & Technology,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0
University of Michigan,52700.0,93000.0,50900.0,69400.0,128000.0,182000.0
Purdue University,51400.0,90500.0,49900.0,67400.0,121000.0,168000.0
Marquette University,48500.0,88400.0,49500.0,67400.0,121000.0,184000.0
DePauw University,41400.0,88200.0,49500.0,57400.0,133000.0,185000.0
University of Wisconsin (UW) - Madison,48900.0,87800.0,47400.0,62400.0,118000.0,170000.0
Bradley University,47000.0,87300.0,45900.0,64900.0,113000.0,151000.0
St. Olaf College,45300.0,86200.0,41300.0,61000.0,120000.0,185000.0
Michigan State University (MSU),46300.0,85300.0,44200.0,61500.0,119000.0,170000.0
DePaul University,46400.0,84800.0,50300.0,63900.0,115000.0,160000.0
Iowa State University,45400.0,84600.0,44400.0,60000.0,109000.0,147000.0
University of Minnesota,46200.0,84200.0,49000.0,63200.0,112000.0,148000.0
"Indiana University (IU), Bloomington",46300.0,84000.0,43600.0,60400.0,119000.0,178000.0
University of Iowa (UI),44700.0,83900.0,43300.0,61100.0,116000.0,163000.0
